run,run_id,weight_initial,weight_boundary,weight_residual,batch_size,final_train_loss,final_val_loss,final_train_l2,final_val_l2,duration_minutes,timestamp,learning_rate,scheduler_type,epochs,hidden_layers,hidden_neurons,activation
1,023d2c5347fa432e91d8667b570a791c,1,1,1,512,0.003971351106883958,,0.36413219571113586,,27.311151116666668,2025-11-09T13:28:45.991341,0.0001,,1000,5,100,tanh
2,c176968ad7f547e0adbc0bf1ff0daf0e,1,1,10,512,0.06823886334896087,,1.0883386135101318,,27.384262783333334,2025-11-09T13:56:04.660484,0.0001,,1000,5,100,tanh
3,2718bddd04ad48c4808a3487031358a5,1,1,20,512,0.09705385137349368,,1.231119155883789,,27.4370804,2025-11-09T14:23:27.716325,0.0001,,1000,5,100,tanh
4,1d441a2f42064f14a298a74caf38e2eb,5,1,1,512,0.004338206816464662,,0.3243756592273712,,27.577307599999997,2025-11-09T14:50:53.941229,0.0001,,1000,5,100,tanh
5,18f9f98c3daf4ad1bc6dd16d7a195f90,5,1,10,512,0.057636969815939666,,0.535493016242981,,27.580234733333334,2025-11-09T15:18:28.579756,0.0001,,1000,5,100,tanh
6,d642a32639ff4c2391cfb982a2d5afb8,5,1,20,512,0.13155499417334796,,0.7114281058311462,,27.52135506666667,2025-11-09T15:46:03.393916,0.0001,,1000,5,100,tanh
7,4269140ab2aa4b8a97007e194b536920,10,1,1,512,0.007611056289169938,,0.378076434135437,,27.546424116666667,2025-11-09T16:13:34.675291,0.0001,,1000,5,100,tanh
8,54f0d832db5441f695971f7144eda157,10,1,10,512,0.05278194332495332,,0.39992931485176086,,27.603581249999998,2025-11-09T16:41:07.460813,0.0001,,1000,5,100,tanh
9,287cb38a0281487da2b41190b6b6a70e,10,1,20,512,0.12351493481546641,,0.5447839498519897,,27.587787,2025-11-09T17:08:43.675771,0.0001,,1000,5,100,tanh


best_mlrun_by_loss = { "train/total_loss": "023d2c5347fa432e91d8667b570a791c",
                        "val/total_loss": "c176968ad7f547e0adbc0bf1ff0daf0e",
                        "train/relative_l2_error": "2718bddd04ad48c4808a3487031358a5",
                        "val/relative_l2_error": "1d441a2f42064f14a298a74caf38e2eb" }
